City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind Speed
maningrida,6,AU,1570299037,89,-12.05,134.23,292.5,2.62
bengkulu,6,AU,1570299037,89,-12.05,134.23,292.5,2.62
zhicheng,93,CN,1570299037,54,35.04,112.59,286.7,0.27
marawi,93,PH,1570299038,91,8.0,124.29,296.48,2.68
acari,0,BR,1570299038,19,-6.44,-36.64,310.2,5.63
toftir,0,BR,1570299038,19,-6.44,-36.64,310.2,5.63
esperance,75,AU,1570299038,93,-33.86,121.89,285.15,3.1
necochea,0,AR,1570299039,78,-38.55,-58.74,286.48,3.13
mar del plata,88,AR,1570298925,31,-46.43,-67.52,287.0,6.69
ous,100,RU,1570299039,59,60.91,61.52,285.1,5.66
azad shahr,100,RU,1570299039,59,60.91,61.52,285.1,5.66
half moon bay,1,US,1570298740,25,37.46,-122.43,296.15,2.6
terrace bay,90,CA,1570299040,70,48.78,-87.1,282.15,4.6
borovoy,100,RU,1570299040,85,63.23,52.89,275.9,3.32
bredasdorp,0,ZA,1570299040,67,-34.53,20.04,289.26,4.1
sao joao da barra,0,BR,1570299041,58,-21.64,-41.05,301.15,11.3
barrow,0,AR,1570299041,37,-38.31,-60.23,290.9,5.18
thaba-tseka,0,LS,1570299041,13,-29.52,28.61,286.0,2.9
punta arenas,75,CL,1570299042,42,-53.16,-70.91,282.15,9.3
kailua,1,US,1570299042,78,21.39,-157.74,299.26,3.6
tsihombe,1,US,1570299042,78,21.39,-157.74,299.26,3.6
tshikapa,89,CD,1570299042,86,-6.42,20.79,296.4,0.98
banyo,100,CM,1570299043,97,6.75,11.81,291.9,0.49
illoqqortoormiut,100,CM,1570299043,97,6.75,11.81,291.9,0.49
geraldton,90,CA,1570299043,75,49.72,-86.95,281.15,5.7
hithadhoo,97,MV,1570299044,73,-0.6,73.08,300.8,3.09
lanzhou,75,CN,1570299044,93,36.06,103.82,281.15,2.0
yuyao,40,CN,1570299044,78,30.04,121.15,295.15,4.0
fortuna,1,US,1570299045,76,40.6,-124.16,288.71,6.46
cairns,71,AU,1570298766,68,-16.92,145.77,294.15,2.6
victoria,75,BN,1570298819,83,5.28,115.24,300.15,1.0
nizhniy chir,100,RU,1570299045,66,48.36,43.08,292.1,6.51
whakatane,98,NZ,1570298850,96,-37.96,176.99,284.82,2.24
lorengau,93,PG,1570299046,80,-2.02,147.27,298.4,1.57
daru,100,PG,1570299040,92,-9.07,143.21,296.6,3.69
jibuti,100,PG,1570299040,92,-9.07,143.21,296.6,3.69
zelenoborskiy,100,RU,1570299046,93,66.84,32.36,272.6,2.32
ambon,20,FR,1570299046,87,47.55,-2.56,289.82,2.1
mbandaka,48,CD,1570299047,70,0.05,18.26,298.2,0.396
qaanaaq,93,GL,1570299047,84,77.48,-69.36,267.0,2.28
marrakesh,0,MA,1570299047,24,31.63,-7.99,306.15,3.6
bambous virieux,40,MU,1570299048,83,-20.34,57.76,297.15,3.1
souillac,90,FR,1570299048,68,45.6,-0.6,292.15,2.6
mana,94,NG,1570299048,51,13.03,5.27,304.3,1.31
banepa,20,NP,1570299048,94,27.63,85.52,293.15,2.1
bluff,0,AU,1570299036,87,-23.58,149.07,287.3,1.64
barentsburg,0,AU,1570299036,87,-23.58,149.07,287.3,1.64
george town,75,MY,1570299049,94,5.42,100.33,298.15,2.28
paita,0,PE,1570299049,290,-5.09,-81.11,290.15,8.7
dongli,0,CN,1570299049,65,24.18,117.61,300.15,6.0
ostrovnoy,100,RU,1570299050,96,68.05,39.51,273.8,10.29
east london,0,ZA,1570299050,88,-33.02,27.91,292.15,7.7
belushya guba,0,ZA,1570299050,88,-33.02,27.91,292.15,7.7
cape town,0,ZA,1570299034,72,-33.93,18.42,290.93,4.1
georgetown,40,GY,1570298770,74,6.8,-58.16,305.15,6.2
flinders,40,AU,1570299051,100,-34.58,150.85,289.26,2.6
port augusta,21,AU,1570299051,52,-32.49,137.76,292.15,4.6
bathsheba,40,BB,1570299051,70,13.22,-59.52,304.15,6.2
hanzhong,100,CN,1570299052,93,33.08,107.03,286.7,2.1
neryungri,86,RU,1570299052,92,56.66,124.71,270.5,1.91
saleaula,86,RU,1570299052,92,56.66,124.71,270.5,1.91
kieta,39,PG,1570299052,79,-6.22,155.63,299.7,3.0
tasbuget,39,PG,1570299052,79,-6.22,155.63,299.7,3.0
san jeronimo,40,PE,1570299053,52,-13.65,-73.37,291.15,3.1
bikin,0,RU,1570299053,67,46.82,134.25,275.0,2.24
catuday,70,PH,1570299053,69,16.29,119.81,301.4,1.3
villa constitucion,1,AR,1570299053,39,-33.23,-60.33,295.37,2.1
cockburn town,75,TC,1570299054,78,21.46,-71.14,301.15,2.1
la ronge,40,CA,1570299054,71,55.1,-105.3,283.15,4.1
carballo,91,ES,1570299054,68,43.21,-8.69,292.59,1.5
vestmannaeyjar,75,IS,1570299054,100,63.44,-20.27,283.15,4.6
veraval,90,FR,1570299055,87,49.65,0.71,288.71,4.6
port elizabeth,40,US,1570299055,39,39.31,-74.98,291.48,3.6
bonavista,100,CA,1570299055,84,48.65,-53.11,277.59,6.26
karaul,100,CA,1570299055,84,48.65,-53.11,277.59,6.26
paamiut,41,GL,1570299056,81,61.99,-49.67,278.3,11.67
muros,20,ES,1570299056,77,42.77,-9.06,292.59,2.1
huarmey,100,PE,1570299056,89,-10.07,-78.15,289.4,7.82
arys,75,KZ,1570299056,59,42.43,68.8,289.15,1.0
pevek,100,RU,1570299057,80,69.7,170.27,271.8,10.2
new norfolk,90,AU,1570299057,62,-42.78,147.06,285.15,3.1
kintampo,91,GH,1570299057,88,8.05,-1.73,298.1,1.91
mayo,90,CA,1570299057,97,63.59,-135.9,274.15,1.0
acajutla,20,SV,1570299058,62,13.59,-89.83,303.15,3.1
marcona,20,SV,1570299058,62,13.59,-89.83,303.15,3.1
novomikhaylovskiy,97,RU,1570299058,73,44.26,38.86,291.4,1.69
khandyga,0,RU,1570299058,71,62.65,135.58,264.3,2.5
le pradet,90,FR,1570299059,87,46.44,1.83,289.15,1.5
los llanos de aridane,20,ES,1570299059,73,28.66,-17.92,297.15,7.2
bintulu,75,MY,1570299059,94,3.17,113.03,298.15,1.0
grand river south east,75,MY,1570299059,94,3.17,113.03,298.15,1.0
inirida,100,CO,1570299061,67,3.87,-67.92,301.7,1.04
olafsvik,100,CO,1570299061,67,3.87,-67.92,301.7,1.04
xai-xai,0,MZ,1570299062,60,-25.04,33.64,295.6,3.61
cayenne,0,GF,1570299062,83,4.94,-52.33,300.15,2.1
arraial do cabo,0,BR,1570299063,65,-22.97,-42.02,301.15,11.8
cartagena,5,ES,1570299063,83,37.63,-1.0,299.15,2.1
upernavik,100,GL,1570299063,90,72.79,-56.15,274.8,2.2
dikson,10,RU,1570299064,71,73.51,80.55,268.7,6.21
anadyr,100,RU,1570299064,73,64.73,177.51,269.15,12.0
chara,20,GR,1570299064,52,39.42,22.43,294.15,2.6
faanui,4,PF,1570299064,75,-16.48,-151.75,299.6,4.6
makakilo city,1,US,1570299036,83,21.35,-158.09,299.26,1.5
chuy,100,UY,1570299065,74,-33.69,-53.46,286.9,7.63
praya,40,ID,1570299065,83,-8.71,116.27,298.15,2.1
ponta do sol,28,BR,1570299033,38,-20.63,-46.0,302.2,3.63
polyarnyy,75,RU,1570299065,86,69.2,33.45,274.15,2.0
el alto,75,BO,1570299066,50,-16.5,-68.19,285.15,3.1
sechura,37,PE,1570299066,92,-5.56,-80.82,289.7,7.16
grindavik,75,IS,1570299066,100,63.84,-22.43,283.15,4.6
falmouth,40,GB,1570299067,93,50.16,-5.07,289.82,7.2
butaritari,89,KI,1570299067,64,3.07,172.79,302.3,2.948
guerrero negro,0,MX,1570299067,34,27.97,-114.04,299.6,4.835
roald,20,NO,1570299067,56,62.58,6.12,276.48,2.6
khatanga,17,RU,1570299068,87,71.98,102.47,265.6,6.06
valdivia,0,CL,1570299068,62,-39.81,-73.25,286.15,1.5
norton,20,US,1570299068,31,41.97,-71.19,288.71,2.6
taoudenni,0,ML,1570299069,10,22.68,-3.98,306.8,4.56
attawapiskat,0,ML,1570299069,10,22.68,-3.98,306.8,4.56
mys shmidta,0,ML,1570299069,10,22.68,-3.98,306.8,4.56
shingu,0,JP,1570299069,80,33.72,135.99,287.4,2.76
padang,79,ID,1570299069,85,-0.92,100.36,298.8,6.47
smolenka,49,PL,1570299070,77,54.15,22.76,276.0,3.35
provideniya,100,RU,1570299070,97,64.42,-173.23,270.8,4.73
cabo san lucas,5,MX,1570298787,69,22.89,-109.91,304.26,3.1
tiksi,99,RU,1570299070,85,71.64,128.87,266.8,3.666
hambantota,100,LK,1570299071,76,6.12,81.12,301.2,4.67
neuquen,0,AR,1570299071,33,-38.95,-68.06,290.15,1.5
aswan,0,EG,1570298844,25,24.09,32.9,310.15,1.5
san policarpo,80,PH,1570299071,83,12.18,125.51,298.9,1.36
manavalakurichi,75,IN,1570299071,88,8.13,77.3,300.15,3.1
nioro,6,GM,1570299072,45,13.79,-15.05,307.7,2.78
norman wells,75,CA,1570299072,86,65.28,-126.83,276.15,1.0
biggar,42,CA,1570298867,65,52.06,-107.98,282.2,7.24
bandarbeyla,6,SO,1570299072,82,9.49,50.81,298.6,6.28
tuatapere,89,NZ,1570299073,84,-46.13,167.69,278.71,1.79
jalu,0,LY,1570299073,37,29.03,21.55,298.5,7.83
salacgriva,75,LV,1570299073,93,57.75,24.36,273.15,7.34
tuktoyaktuk,90,CA,1570299073,86,69.44,-133.03,277.15,8.2
kahului,20,US,1570299074,73,20.89,-156.47,298.71,1.5
yumen,100,CN,1570299074,31,40.29,97.04,282.5,5.717
otane,86,NZ,1570299074,94,-39.89,176.62,277.04,1.32
lata,100,IN,1570299074,76,30.78,78.62,273.8,0.9
berea,1,US,1570298829,36,37.57,-84.3,302.15,1.5
san cristobal,39,HN,1570299075,66,14.68,-86.92,301.6,0.67
paso del macho,40,MX,1570299075,58,18.97,-96.73,304.82,5.7
krutinka,62,RU,1570299075,83,56.01,71.51,284.6,4.02
verkhnevilyuysk,100,RU,1570299076,97,63.45,120.31,272.4,3.34
narsaq,75,GL,1570299076,30,60.91,-46.05,286.15,5.7
yulara,0,AU,1570299076,19,-25.24,130.99,292.15,5.0
iqaluit,75,CA,1570299076,74,63.75,-68.52,276.15,5.1
broken hill,20,AU,1570299077,13,-31.97,141.45,302.15,6.2
north bend,1,US,1570299077,82,43.41,-124.22,288.71,1.5
karkaralinsk,1,US,1570299077,82,43.41,-124.22,288.71,1.5
meulaboh,100,ID,1570299077,87,4.14,96.13,298.2,4.0
dalbandin,100,PK,1570299078,55,28.9,64.41,292.3,4.49
caravelas,84,BR,1570299078,68,-17.73,-39.27,299.1,6.814
teknaf,100,BD,1570299078,73,20.86,92.31,302.0,2.59
port blair,88,IN,1570299078,64,11.67,92.75,301.2,1.06
sioux lookout,90,CA,1570299079,93,50.1,-91.92,280.15,6.7
kavieng,12,PG,1570299079,70,-2.57,150.8,302.1,3.09
dingle,81,PH,1570299079,91,11.0,122.67,296.6,1.25
savinka,100,RU,1570299079,30,50.08,47.1,292.0,8.28
abu samrah,42,SY,1570299080,62,35.3,37.18,292.8,4.45
baracoa,97,CU,1570299080,71,20.35,-74.5,301.6,2.67
bodden town,20,KY,1570299080,88,19.28,-81.25,300.15,2.1
chinhoyi,35,ZW,1570299080,18,-17.36,30.19,297.9,3.851
pimentel,21,BR,1570299081,44,-3.7,-45.5,307.5,2.46
bani,1,YE,1570299081,71,16.02,42.93,304.3,1.75
the valley,40,AI,1570299082,66,18.22,-63.06,305.37,4.6
noumea,0,NC,1570298799,82,-22.28,166.46,295.37,2.1
abnub,0,EG,1570299082,33,27.27,31.15,304.15,5.7
alice springs,0,AU,1570299083,13,-23.7,133.88,297.15,2.1
san patricio,100,PY,1570299083,94,-26.98,-56.83,290.2,3.47
lubango,57,AO,1570299084,50,-14.92,13.49,297.6,1.97
miura,75,JP,1570299065,78,35.17,139.64,296.48,5.7
jinchang,100,CN,1570299084,76,38.52,102.19,279.7,3.614
kelheim,90,DE,1570299084,100,48.92,11.87,283.15,1.5
sobolevo,100,RU,1570299085,80,54.43,31.9,278.1,3.79
codrington,90,AU,1570299085,87,-28.95,153.24,289.15,3.1
basoko,87,CD,1570299085,92,1.23,23.61,295.9,0.82
port macquarie,90,AU,1570299085,93,-31.43,152.91,288.71,0.6
sur,56,OM,1570299086,48,22.57,59.53,303.4,4.73
baie-comeau,1,CA,1570299086,40,49.22,-68.15,284.15,4.1
ribeira grande,75,PT,1570299086,88,38.52,-28.7,295.15,5.1
suntar,100,RU,1570299086,97,62.16,117.65,275.2,1.87
lima,90,PE,1570299087,77,-12.06,-77.04,291.15,2.6
albury,100,AU,1570299087,82,-36.08,146.92,292.59,3.1
zigong,88,CN,1570299087,86,29.34,104.78,292.6,1.02
dillon,75,US,1570299087,60,45.22,-112.64,278.71,8.2
okhotsk,73,RU,1570299088,60,59.36,143.24,268.5,5.19
najran,40,SA,1570299088,20,17.54,44.22,302.15,2.1
launceston,75,AU,1570299088,81,-41.43,147.14,285.37,3.1
wanning,75,AT,1570299088,76,48.64,13.53,283.15,6.2
nizhneyansk,75,AT,1570299088,76,48.64,13.53,283.15,6.2
krasnoselkup,75,AT,1570299088,76,48.64,13.53,283.15,6.2
lesnoy,100,RU,1570299089,91,59.78,52.13,278.4,3.435
amderma,100,RU,1570299089,91,59.78,52.13,278.4,3.435
mutsamudu,100,RU,1570299089,91,59.78,52.13,278.4,3.435
tura,0,RU,1570298950,78,64.27,100.22,272.0,6.11
labuhan,23,ID,1570299090,80,-2.54,115.51,295.6,0.97
aklavik,75,CA,1570299090,44,68.22,-135.01,278.15,3.6
berlin,20,DE,1570298988,81,52.52,13.39,283.15,2.1
neiafu,75,TO,1570299090,73,-18.65,-173.98,296.15,5.1
libertador general san martin,100,AR,1570299091,74,-23.81,-64.79,287.6,0.19
monrovia,75,LR,1570299091,79,6.33,-10.8,302.15,3.6
pauri,0,IN,1570299091,89,30.15,78.78,290.3,1.79
flin flon,90,CA,1570299091,75,54.77,-101.88,281.15,3.1
choix,52,MX,1570299092,56,26.71,-108.33,303.2,1.66
barguzin,100,RU,1570299092,93,53.62,109.63,273.5,4.61
nea stira,20,GR,1570299092,40,38.18,24.2,296.48,3.6
san quintin,59,PH,1570299092,89,17.54,120.52,296.1,1.467
kaka,0,TM,1570299093,31,37.35,59.62,287.6,1.41
the pas,90,CA,1570299093,75,53.82,-101.24,281.15,3.6
beloha,0,MG,1570299093,71,-25.17,45.06,297.0,5.23
louisbourg,0,MG,1570299093,71,-25.17,45.06,297.0,5.23
evensk,0,RU,1570299094,65,61.92,159.24,268.3,3.49
wyndham,93,GB,1570299094,93,51.61,-3.54,288.71,4.1
yeniseysk,100,RU,1570299094,85,58.45,92.17,275.5,2.364
brae,3,GB,1570299094,70,60.4,-1.35,283.15,7.2
mudgee,68,AU,1570299095,93,-32.6,149.59,286.15,2.1
lerwick,3,GB,1570299095,66,60.15,-1.15,283.15,11.3
barahona,75,DO,1570299095,70,18.21,-71.1,304.15,8.2
yenotayevka,81,RU,1570299095,45,47.24,47.04,289.2,6.53
mumford,71,GH,1570299096,90,5.26,-0.76,297.1,2.807
abha,0,SA,1570299096,77,18.22,42.5,295.15,3.08
isla mujeres,40,MX,1570299096,70,21.23,-86.73,304.15,3.6
shanghai,0,CN,1570298829,68,31.23,121.49,293.71,5.0
ialibu,100,PG,1570299097,98,-6.28,143.99,288.5,0.47
cabedelo,40,BR,1570299097,65,-6.97,-34.84,300.15,7.2
bitkine,100,TD,1570299097,85,11.98,18.21,297.1,1.359
alappuzha,100,TD,1570299097,85,11.98,18.21,297.1,1.359
burica,100,TD,1570299097,85,11.98,18.21,297.1,1.359
coquimbo,0,CL,1570299098,62,-29.95,-71.34,288.15,6.2
doha,1,QA,1570299098,45,25.29,51.53,306.15,3.1
hamilton,40,CA,1570299098,66,43.26,-79.87,287.04,7.7
arsenyev,0,RU,1570299099,58,44.16,133.27,275.6,1.3
avera,90,US,1570299099,60,33.19,-82.53,301.15,5.1
darab,0,IR,1570299099,35,28.75,54.55,286.3,1.32
mao,20,DO,1570299087,55,19.55,-71.08,305.93,4.6
swidwin,0,PL,1570299100,81,53.77,15.78,283.15,2.6
vila franca do campo,40,PT,1570299100,88,37.72,-25.43,296.15,3.1
kamenskoye,40,PT,1570299100,88,37.72,-25.43,296.15,3.1
katobu,3,ID,1570299100,88,-4.94,122.53,297.0,2.84
mahebourg,40,MU,1570299101,83,-20.41,57.7,297.15,3.1
kozhva,100,RU,1570299101,96,65.11,57.05,276.5,2.36
kodinsk,34,RU,1570299102,91,58.6,99.18,272.5,3.09
lasa,20,CY,1570299102,83,34.92,32.53,298.15,2.1
kaihua,9,CN,1570299102,91,29.14,118.41,291.3,2.73
katsuura,40,JP,1570299103,83,33.93,134.5,294.15,2.6
atar,0,MR,1570299103,7,20.52,-13.05,313.7,1.91
rumoi,86,JP,1570299103,70,43.93,141.67,283.9,6.31
kavaratti,31,IN,1570299104,64,10.57,72.64,301.3,1.33
ta khmau,40,KH,1570299104,88,11.48,104.95,299.15,4.1
lompoc,1,US,1570299104,30,34.64,-120.46,297.59,2.385
caucasia,100,CO,1570299104,69,7.98,-75.2,303.1,1.4
oktyabrskiy,75,RU,1570299105,75,55.61,37.97,282.04,3.0
te anau,1,NZ,1570299105,84,-45.41,167.72,274.1,0.24
abaza,100,RU,1570299105,67,52.65,90.1,281.5,4.02
ribas do rio pardo,94,BR,1570299105,38,-20.45,-53.76,306.5,3.31
bumba,38,CD,1570299106,91,2.18,22.47,296.1,0.428
paulo afonso,0,BR,1570299106,27,-9.4,-38.23,305.4,5.25
rio gallegos,75,AR,1570299106,43,-51.62,-69.22,283.15,5.7
concordia,90,AR,1570299106,68,-31.4,-58.02,291.15,6.2
umzimvubu,90,AR,1570299106,68,-31.4,-58.02,291.15,6.2
bakchar,85,RU,1570299107,97,57.02,82.07,283.1,1.89
kuche,85,RU,1570299107,97,57.02,82.07,283.1,1.89
serenje,8,ZM,1570299107,42,-13.23,30.22,296.1,2.005
astoria,94,US,1570299108,89,46.19,-123.83,287.59,1.79
tarauaca,48,BR,1570299036,41,-8.16,-70.77,307.2,1.4
oliveira dos brejinhos,36,BR,1570299108,25,-12.32,-42.89,305.5,1.71
kiama,40,AU,1570299108,100,-34.67,150.86,289.26,2.6
tambul,40,AU,1570299108,100,-34.67,150.86,289.26,2.6
praia da vitoria,40,PT,1570299109,78,38.73,-27.07,296.15,6.83
ewa beach,1,US,1570299109,83,21.32,-158.01,299.26,1.5
ketchikan,90,US,1570299109,100,55.34,-131.65,284.15,3.6
methoni,20,GR,1570299109,72,36.82,21.7,293.71,6.89
soure,0,PT,1570299110,68,40.06,-8.63,292.15,6.7
vaitupu,0,PT,1570299110,68,40.06,-8.63,292.15,6.7
maniitsoq,100,GL,1570299110,85,65.42,-52.9,276.9,11.34
mitzic,45,GA,1570299110,96,0.78,11.55,295.1,0.93
susangerd,0,IR,1570299111,32,31.56,48.19,301.15,1.0
iwaki,99,JP,1570299111,98,37.05,140.89,295.37,0.45
nantucket,20,US,1570299111,47,41.28,-70.1,287.59,3.6
kachug,100,RU,1570299111,90,53.96,105.89,276.7,4.643
burns lake,77,CA,1570299112,79,54.23,-125.76,276.6,2.69
luena,88,AO,1570299112,54,-11.78,19.91,294.7,1.771
turukhansk,100,RU,1570299112,91,65.8,87.96,275.1,3.76
barisal,43,BD,1570299112,81,22.7,90.37,299.2,2.096
aykhal,90,RU,1570299113,100,65.95,111.51,269.15,3.0
saint-pierre,75,FR,1570299113,100,48.95,4.24,288.15,3.1
sisimiut,100,GL,1570299113,96,66.94,-53.67,274.7,14.27
torbay,75,CA,1570299114,86,47.66,-52.73,280.93,6.7
buluang,20,PH,1570299114,83,10.47,123.98,299.15,0.5
nurota,0,UZ,1570299114,47,40.56,65.69,288.15,3.1
chimbote,100,PE,1570299114,92,-9.08,-78.59,289.2,5.39
fairbanks,40,US,1570299079,86,64.84,-147.72,272.04,3.6
togur,64,RU,1570299116,98,58.36,82.83,279.1,1.18
namie,100,JP,1570299116,95,37.52,140.86,292.04,0.79
morrope,75,PE,1570299116,29,-6.54,-80.02,292.15,7.2
terrak,36,NO,1570299116,56,65.09,12.37,277.15,2.1
kolondieba,93,ML,1570299117,71,11.09,-6.89,300.9,1.06
junction city,1,US,1570299117,38,39.03,-96.83,296.48,4.6
takoradi,20,GH,1570299117,88,4.89,-1.75,298.3,4.973
nguiu,20,GH,1570299117,88,4.89,-1.75,298.3,4.973
sao filipe,11,CV,1570299118,82,14.9,-24.5,298.6,6.94
kampot,40,KH,1570299118,94,10.62,104.18,299.15,0.5
tessalit,0,ML,1570299118,8,20.2,1.01,307.5,1.23
kloulklubed,75,PW,1570299118,94,7.04,134.26,298.15,5.61
